2000	2.01582e+06
2800	3.96584e+06
3600	6.54801e+06
4400	9.74471e+06
5200	1.36249e+07
6000	1.82585e+07
6800	2.32634e+07
7600	2.91217e+07
8400	3.56694e+07
9200	4.28023e+07
10000	5.02394e+07
10800	5.9091e+07
11600	6.77709e+07
12400	7.77132e+07
13200	8.849e+07
14000	9.911e+07
14800	1.11212e+08
15600	1.22399e+08
2000	2.0058e+06
2800	3.95538e+06
3600	6.53306e+06
4400	9.77137e+06
5200	1.35184e+07
6000	1.8075e+07
6800	2.32349e+07
7600	2.92591e+07
8400	3.52457e+07
9200	4.28627e+07
10000	5.04121e+07
10800	5.92285e+07
11600	6.82163e+07
12400	7.72883e+07
13200	8.80561e+07
14000	9.87904e+07
14800	1.12146e+08
15600	1.23732e+08
